t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency -0.05 hall_freq 0.00 isA -6.06 isB -5.94 isC 12.00 isD -6.06 isQ -10.36 VsD -0.85 VsQ -1.50 Vs 1.68 Vs_cita 240.72 Vs_cita_relative 240.72 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.32 psis_ref 25.00000 te 25.00 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA 25.00 isB -6.05 isC 12.05 isD 25.00 isQ -10.45 VsD -0.86 VsQ -1.55 Vs 1.62 Vs_cita 240.75 Vs_cita_relative 240.75 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.33 psis_ref 25.00000 te 25.00 Ud 4.08 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.28 hall_freq 0.00 isA -6.02 isB -5.96 isC 11.98 isD -6.02 isQ -10.36 VsD -0.83 VsQ -1.48 Vs 1.65 Vs_cita 241.87 Vs_cita_relative 241.87 psisD 0.01 psisQ 25.00 psis 25.00 psis_alpha 58.32 psis_ref 25.00000 te 25.00 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.33 hall_freq 0.00 isA -5.90 isB -6.13 isC 12.03 isD -5.90 isQ -10.49 VsD -0.80 VsQ -1.51 Vs 1.66 Vs_cita 240.60 Vs_cita_relative 240.60 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.33 psis_ref 25.00000 te -0.05 Ud 4.06 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -6.03 isB -6.01 isC 12.04 isD -6.03 isQ -10.42 VsD -0.84 VsQ -1.50 Vs 1.64 Vs_cita 25.00 Vs_cita_relative 25.00 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.32 psis_ref 25.00000 te -0.04 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.22 hall_freq 0.00 isA -5.90 isB -6.13 isC 12.03 isD -5.90 isQ -10.49 VsD -0.80 VsQ -1.50 Vs 1.64 Vs_cita 240.99 Vs_cita_relative 240.99 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.33 psis_ref 25.00000 te -0.05 Ud 4.06 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.28 hall_freq 0.00 isA -6.07 isB -6.04 isC 12.11 isD -6.07 isQ -10.48 VsD -0.85 VsQ -1.53 Vs 1.64 Vs_cita 242.03 Vs_cita_relative 242.03 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.32 psis_ref 25.00000 te -0.03 Ud 4.09 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA 25.00 isB -5.96 isC 11.97 isD 25.00 isQ -10.35 VsD -0.82 VsQ -1.47 Vs 1.64 Vs_cita 240.62 Vs_cita_relative 240.62 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.32 psis_ref 25.00000 te 25.00 Ud 4.12 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.29 hall_freq 0.00 isA -6.06 isB -6.02 isC 12.08 isD -6.06 isQ -10.45 VsD -0.84 VsQ -1.51 Vs 1.64 Vs_cita 242.06 Vs_cita_relative 242.06 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.32 psis_ref 25.00000 te 25.00 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.13 hall_freq 0.00 isA -5.86 isB -6.07 isC 11.93 isD -5.86 isQ -10.39 VsD -0.79 VsQ -1.48 Vs 1.66 Vs_cita 241.27 Vs_cita_relative 241.27 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.33 psis_ref 25.00000 te -0.05 Ud 4.10 pi_control -0.00 pi_max 0.01
