t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA -5.98 isB -5.91 isC 11.88 isD -5.98 isQ -10.27 VsD -0.80 VsQ -1.42 Vs 1.65 Vs_cita 240.35 Vs_cita_relative 240.35 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.01 hall_freq 0.00 isA -5.99 isB -5.92 isC 11.91 isD -5.99 isQ -10.29 VsD -0.83 VsQ -1.47 Vs 1.67 Vs_cita 240.65 Vs_cita_relative 240.65 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 25.00 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -5.94 isB -5.91 isC 11.85 isD -5.94 isQ -10.26 VsD 25.00 VsQ -1.45 Vs 1.66 Vs_cita 241.76 Vs_cita_relative 241.76 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.16 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.05 hall_freq 0.00 isA -6.11 isB -6.04 isC 12.15 isD -6.11 isQ 25.00 VsD -0.87 VsQ -1.54 Vs 1.67 Vs_cita 240.84 Vs_cita_relative 240.84 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.20 hall_freq 0.00 isA -5.87 isB -6.09 isC 11.97 isD -5.87 isQ -10.43 VsD -0.80 VsQ -1.49 Vs 1.66 Vs_cita 240.99 Vs_cita_relative 240.99 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.09 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.26 hall_freq 0.00 isA -5.90 isB -6.11 isC 12.01 isD -5.90 isQ -10.46 VsD -0.81 VsQ -1.51 Vs 1.66 Vs_cita 240.78 Vs_cita_relative 240.78 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.07 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.00 hall_freq 0.00 isA -5.95 isB -5.90 isC 11.85 isD -5.95 isQ -10.25 VsD -0.79 VsQ -1.42 Vs 1.65 Vs_cita 240.60 Vs_cita_relative 240.60 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.16 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -5.92 isB -5.83 isC 11.75 isD -5.92 isQ -10.15 VsD -0.80 VsQ -1.42 Vs 1.62 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -5.92 isB -5.83 isC 11.75 isD -5.92 isQ -10.15 VsD -0.80 VsQ -1.42 Vs 1.62 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.03 hall_freq 0.00 isA -5.92 isB -5.83 isC 11.75 isD -5.92 isQ -10.15 VsD -0.80 VsQ -1.42 Vs 1.62 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
