t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA -5.92 isB -5.85 isC 11.77 isD -5.92 isQ -10.17 VsD -0.78 VsQ -1.39 Vs 1.66 Vs_cita 240.39 Vs_cita_relative 240.39 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -6.08 isB -6.01 isC 12.09 isD -6.08 isQ 25.00 VsD -0.87 VsQ -1.54 Vs 1.64 Vs_cita 240.88 Vs_cita_relative 240.88 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -5.99 isB -5.91 isC 11.89 isD -5.99 isQ -10.28 VsD -0.81 VsQ 25.00 Vs 1.65 Vs_cita 240.59 Vs_cita_relative 240.59 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.15 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.07 isB -5.96 isC 12.04 isD -6.07 isQ -10.39 VsD -0.86 VsQ -1.51 Vs 1.65 Vs_cita 240.84 Vs_cita_relative 240.84 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.97 isB -5.88 isC 11.85 isD -5.97 isQ -10.24 VsD -0.79 VsQ -1.41 Vs 1.64 Vs_cita 240.55 Vs_cita_relative 240.55 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.02 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.07 hall_freq 0.00 isA -5.97 isB -5.85 isC 11.82 isD -5.97 isQ -10.21 VsD -0.82 VsQ -1.45 Vs 1.63 Vs_cita 240.85 Vs_cita_relative 240.85 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.01 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.28 hall_freq 0.00 isA -5.96 isB -5.92 isC 11.88 isD -5.96 isQ -10.28 VsD -0.82 VsQ -1.46 Vs 1.66 Vs_cita 242.00 Vs_cita_relative 242.00 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.07 isB -5.98 isC 12.05 isD -6.07 isQ -10.41 VsD -0.87 VsQ -1.53 Vs 1.62 Vs_cita 240.96 Vs_cita_relative 240.96 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.14 hall_freq 0.00 isA -5.91 isB -5.86 isC 11.77 isD -5.91 isQ -10.18 VsD -0.78 VsQ -1.41 Vs 1.65 Vs_cita 241.26 Vs_cita_relative 241.26 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.31 hall_freq 0.00 isA -5.90 isB -6.09 isC 11.98 isD -5.90 isQ -10.43 VsD -0.81 VsQ -1.50 Vs 1.65 Vs_cita 240.46 Vs_cita_relative 240.46 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.05 Ud 4.07 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.17 hall_freq 0.00 isA 25.00 isB -6.06 isC 12.06 isD 25.00 isQ -10.46 VsD -0.85 VsQ -1.55 Vs 1.63 Vs_cita 240.61 Vs_cita_relative 240.61 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.35 psis_ref 25.00000 te -0.04 Ud 4.07 pi_control -0.00 pi_max 0.01
